id,РУССКИЙ ТЕКСТ,ENGLISH
14920,Мастерская гномов,
14931,Подземный телепорт гномов,
14932,Подземный телепорт людей,
14937,Дом Ярована,
15601,Стол в подвале,
15603,Скелет в подвале,
15659,Крышка гроба,
15660,Двери склепа,
18065,Курган с огнем,
18066,Курган без огня,
18602,Кораблик,
18651,Викар,
18986,Стоянка отмороженок,
21624,Кратер,
21632,Овощехранилище,
21873,Утес,
21895,Бочонок,
21905,Железки,
21966,форт,
21976,Робот,
21978,Генератор,
21979,Подача воздуха,
22008,Домик Бруно,
22047,Новый кристалл,
42293,"<p>Знания, хранящиеся в этой книге, позволят использовать в бою&nbsp;&nbsp;<font color=""#FF0000""><b>Редкие</b></font>&nbsp;и&nbsp;<font color=""#800080""><b>Уникальные</b></font>&nbsp;эликсиры твердости.</p>",
42339,"<p>Знания, хранящиеся в этой книге, позволят использовать в бою <font color=""#FF0000""><b>Редкие</b></font> и <font color=""#800080""><b>Уникальные</b></font> эликсиры Великана.</p>",
42365,"<p>Знания, хранящиеся в этой книге, позволят использовать в бою&nbsp;&nbsp;<font color=""#FF0000""><b>Редкие</b></font>&nbsp;и&nbsp;<font color=""#800080""><b>Уникальные</b></font>&nbsp;эликсиры Магии.</p>",
42368,"<p>Знания, хранящиеся в этой книге, позволят использовать в бою&nbsp;&nbsp;<font color=""#FF0000""><b>Редкие</b></font>&nbsp;и&nbsp;<font color=""#800080""><b>Уникальные</b></font>&nbsp;эликсиры Ловкости.</p>",
42974,"<p>Прозрачный лепесток из тончайшего горного хрусталя, изготовленный лучшими мастерами-стеклодувами. Ходят слухи,&nbsp;что один лепесток приносит удачу, а если кому-то повезет собрать семь лепестков разных цветов, он сможет объединить их в&nbsp;<a href=""http://tmgame.ru/info/artinfo.php?id=6261"" target=""_blank""><b>цветик-семицветик</b></a>&nbsp;и получить в награду:&nbsp;<a href=""http://tmgame.ru/info/artinfo.php?id=2817"" target=""_blank""><b>Карман от Яра Марко</b></a>,&nbsp;&nbsp;<a href=""http://tmgame.ru/info/artinfo.php?id=24952"" target=""_blank""><b>Осколок нимелина х5</b></a>,&nbsp;<b><a href=""http://tmgame.ru/info/artinfo.php?id=6267"" target=""_blank"">Призрачную табличку</a></b>,&nbsp;<b><a href=""http://w0.tmgame.ru/info/artinfo.php?id=1758"" target=""_blank"">Рубидиевую пластину х100</a></b>&nbsp;и&nbsp;<b><a href=""http://w0.tmgame.ru/info/artinfo.php?id=7504"" target=""_blank"">Ковчег с летучей пыльцой х300</a></b>. Для того чтобы полностью вместить всю награду, вам понадобятся&nbsp;<b>4 слота&nbsp;</b>в рюкзаке. &nbsp;</p><p>Лепесток можно продать, поменяться им с друзьями или собрать&nbsp;<a href=""http://tmgame.ru/info/artinfo.php?id=6261"" target=""_blank""><b>цветики-семицветики</b></a>,&nbsp;<a href=""http://tmgame.ru/info/artinfo.php?id=6262"" target=""_blank""><b>цветики-букетики</b></a>&nbsp;и&nbsp;<a href=""http://tmgame.ru/info/artinfo.php?id=6263"" target=""_blank""><b>цветочные корзины&nbsp;</b></a>и получить королевскую награду!</p><p>За каждые пять уровней своего персонажа,&nbsp;вы получаете дополнительно 1 лепесток того же цвета!</p><p>Стать обладателем лепестка может любой техномаг&nbsp;<b>5 уровня</b>, который в период действия акции<b>&quot;Разноцветная неделя&quot;</b>&nbsp;совершит хотя бы один платеж на сумму не менее 70 кристаллов. Независимо от количества и размера платежей, за одну акцию лепесток (или лепестки,&nbsp;если уровень игрока больше 9) выдается участникам только один раз! ! Подробности&nbsp;<b><a target=""_blank"" href=""http://info.tmgame.ru/news/doc/655/"">здесь</a></b>.</p>",
98822,"<p>Для доступа к медали Вы должны использовать эликсиры в бою. <br />
Данная медаль <b><font color=""#0000FF"">дает 3% шанс Эпическому эликсиру  великана сработать как Редкий эликсир великана,&nbsp;</font></b><b><font color=""#0000FF"">а Легендарному - как Уникальный.</font></b></p>",
98824,"<p>Для доступа к медали, Вы должны использовать эликсиры и свитки в бою. Эффект этой медали учитывается для эпических эликсиров и свитков. Эффекты со всех медалей такого типа суммируются.</p><p><b><font color=""#0000FF"">Дает 3% шанс Эпическому эликсиру твердости&nbsp;</font></b><b><font color=""#0000FF"">сработать как Редкий эликсир твердости, а&nbsp;</font></b><b><font color=""#0000FF"">а Легендарному - как Уникальный</font></b><b><font color=""#0000FF"">.</font></b>&nbsp;</p><p><b><font color=""#0000FF"">Дает 3% шанс Эпическому эликсиру обновления&nbsp;</font></b><b><font color=""#0000FF"">сработать как Редкий эликсир обновления</font></b><b><font color=""#0000FF"">.</font></b>&nbsp;</p><p><b><font color=""#0000FF"">,</font></b><b><font color=""#0000FF"">Дает 3% шанс Эпическому свитку исцеления&nbsp;</font></b><b><font color=""#0000FF"">сработать как Редкий свиток исцеления</font></b><b><font color=""#0000FF"">.</font></b>&nbsp;</p>",
98860,"<p>Для доступа к медали, Вы должны использовать эликсиры и свитки в бою. Будучи заработанной, она даёт своему владельцу новые возможности.</p><p><b><font color=""#0000FF"">Дает 3% шанс Эпическому свитку мощи сработать как Редкий свиток мощи.</font></b>&nbsp;</p><p><b><font color=""#0000FF"">Дает 3% шанс Эпическому свитку защиты сработать как Редкий свиток защиты, а Легендарному - как Уникальный.</font></b>&nbsp;</p><p><b><font color=""#0000FF"">Дает 3% шанс Эпическому эликсиру сокрушения сработать как Редкий эликсир сокрушения,&nbsp;</font></b><b><font color=""#0000FF"">а Легендарному - как Уникальный.</font></b>&nbsp;<b><font color=""#0000FF"">.</font></b>&nbsp;</p><p><b><font color=""#0000FF"">Дает 3% шанс Эпическому эликсиру ловкости сработать как Редкий эликсир ловкости,&nbsp;</font></b><b><font color=""#0000FF"">а Легендарному - как Уникальный.</font></b>&nbsp;</p>",
98862,"<p>Для доступа к медали, Вы должны использовать эликсиры и свитки в бою. Будучи заработанной, она даёт своему владельцу новые возможности.</p><p><b><font color=""#0000FF"">Дает 3% шанс Эпическому эликсиру жизни сработать как Редкий эликсир жизни.</font></b>&nbsp;</p><p><b><font color=""#0000FF"">Дает 3% шанс Эпическому эликсиру магии сработать как Редкий эликсир магии,&nbsp;</font></b><b><font color=""#0000FF"">а Легендарному - как Уникальный</font></b><b><font color=""#0000FF"">.</font></b>&nbsp;</p><p><b><font color=""#0000FF"">Дает 3% шанс Эпическому кристаллу крови как Редкий кристалл крови,&nbsp;</font></b><b><font color=""#0000FF"">а Легендарному - как Уникальный</font></b><b><font color=""#0000FF"">.</font></b>&nbsp;</p><p><b><font color=""#0000FF"">Дает 3% шанс Эпическому эликсиру силы сработать как Редкий эликсир силы, а Легендарному - как Уникальный.</font></b></p>",
99780,"Говорят, когда-то давно в шахты спустилась команда инициативных старателей, которые хотели подчинить себе подземные недра и добыть несметные богатства. С тех пор о них ничего не слышали, но есть подозрения, что трупы шахтеров как-то причастны к этой истории.",
