155404,"<jsaction|showMessage(""Обрати внимание на то, что только в постоянных сражениях можно закалить характер и повысить боевое мастерство. Чем больше врагов ты повергнешь, тем более опытн{ым|ой} и искусн{ым|ой} вои{ном|тельницей} станешь. Также многое будет за","<jsaction|showMessage(""Обрати внимание на то, что только в постоянных сражениях можно закалить характер и повысить боевое мастерство. Чем больше врагов ты повергнешь, тем более опытн{ым|ой} и искусн{ым|ой} вои{ном|тельницей} станешь. Также многое будет за"
157670,"<p>И кто это к нам пожаловал? Очередн{ой|ая} геро{й|иня}, мечтающ{ий|ая} о громких победах, славе и богатстве? Что же, в таком случае добро пожаловать на <b>Лонгхольмский призывной пункт</b>! Я помогу тебе стать прославлен{ым|ой} вои{ном|тельницей}, но сначала давай посмотрим, на что ты способ{ен|на}. Думаю, одного тренировочного боя с моим специально обученным големом будет достаточно.</p>\n<p align=""center"">&nbsp;</p>\n<p align=""center""><b><font color=""#ff0000"">Защищайся!</font></b></p>","<p>И кто это к нам пожаловал? Очередн{ой|ая} геро{й|иня}, мечтающ{ий|ая} о громких победах, славе и богатстве? Что же, в таком случае добро пожаловать на <b>Longholmский призывной пункт</b>! Я помогу тебе стать прославлен{ым|ой} вои{ном|тельницей}, но сначала давай посмотрим, на что ты способ{ен|на}. Думаю, одного тренировочного боя с моим специально обученным големом будет достаточно.</p>\n<p align=""center"">&nbsp;</p>\n<p align=""center""><b><font color=""#ff0000"">Защищайся!</font></b></p>"
157671,"<p>&nbsp;Так, а кто это к нам пожаловал? Очередн{ой|ая} охотни{к|ца} за приключениями, славой и богатством? В таком случае рад приветствовать тебя на <b>Кхатогском призывном пункте</b>! Здесь ты узнаешь, что значит быть вои{ном|тельницей} грозного бога Кхадгора. А для начала давай посмотрим, на что ты способ{ен|на}. Думаю, одного <b>тренировочного боя</b> с моим специально обученным големом будет достаточно.</p>\n<p align=""center""><font color=""#ff0000""><b>Защищайся!</b>&nbsp;</font></p>","<p>&nbsp;Так, а кто это к нам пожаловал? Очередн{ой|ая} охотни{к|ца} за приключениями, славой и богатством? В таком случае рад приветствовать тебя на <b>Khatogском призывном пункте</b>! Здесь ты узнаешь, что значит быть вои{ном|тельницей} грозного бога Кхадгора. А для начала давай посмотрим, на что ты способ{ен|на}. Думаю, одного <b>тренировочного боя</b> с моим специально обученным големом будет достаточно.</p>\n<p align=""center""><font color=""#ff0000""><b>Защищайся!</b>&nbsp;</font></p>"
157672,"<p>&nbsp;Что же, раз ты утверждаешь, что владеешь навыками боя, я тебе поверю. В конце концов, если захочешь выжить, сражаться научишься. Итак, будем считать, что ты готов{|а} встать на опасную, но почетную стезю <b>защитни{ка|цы} Лонгхольма</b>, да хранит тебя Светлоликая Эквиль! &nbsp;Кстати, чуть не забыл. &nbsp;<b>Подойди </b>ко мне и<b> прими в дар набор боевых эликсиров</b>, который полагается каждо{му|й} новоиспеченно{му|й} вои{ну|тельнице}.&nbsp;</p>\n<p align=""center""><img width=""100"" height=""100"" border=""0"" src=""/files/popups/image/npc_vargos_frame(1).png"" alt="""" /></p><p>&nbsp;</p>","<p>&nbsp;Что же, раз ты утверждаешь, что владеешь навыками боя, я тебе поверю. В конце концов, если захочешь выжить, сражаться научишься. Итак, будем считать, что ты готов{|а} встать на опасную, но почетную стезю <b>заshieldни{ка|цы} Longholmа</b>, да хранит тебя Светлоликая Equil! &nbsp;Кстати, чуть не забыл. &nbsp;<b>Подойди </b>ко мне и<b> прими в дар набор боевых эликсиров</b>, который полагается каждо{му|й} новоиспеченно{му|й} вои{ну|тельнице}.&nbsp;</p>\n<p align=""center""><img width=""100"" height=""100"" border=""0"" src=""/files/popups/image/npc_vargos_frame(1).png"" alt="""" /></p><p>&nbsp;</p>"
157673,"<p>Так ты говоришь, что умеешь сражаться. Тогда ты знаешь, что для того, чтобы выжить в нашем жестоком мире, тебе придется сталью и магией защищать свою жизнь. Отныне можешь считать себя полноправн{ым|ой} з<b>ащитни{ком|цей} Кхатога</b>! Кстати, специальный &nbsp;<b>набор магических эликсиров &nbsp;</b>полагается&nbsp;всем новобранцам. <b>Подойди </b>ко мне, и я с радостью его вручу.</p>\n<p align=""center""><img src=""/files/popups/image/npc_kardomar_frame.png"" width=""100"" height=""100"" border=""0"" alt="""" /></p><p>&nbsp;</p><p>&nbsp;</p>","<p>Так ты говоришь, что умеешь сражаться. Тогда ты знаешь, что для того, чтобы выжить в нашем жестоком мире, тебе придется сталью и магией защищать свою жизнь. Отныне можешь считать себя полноправн{ым|ой} з<b>аshieldни{ком|цей} Khatogа</b>! Кстати, специальный &nbsp;<b>набор магических эликсиров &nbsp;</b>полагается&nbsp;всем новобранцам. <b>Подойди </b>ко мне, и я с радостью его вручу.</p>\n<p align=""center""><img src=""/files/popups/image/npc_kardomar_frame.png"" width=""100"" height=""100"" border=""0"" alt="""" /></p><p>&nbsp;</p><p>&nbsp;</p>"
157674,"<p><span style=""text-indent: 35.4pt; "">Признаться, ты меня удивил{|а}. Нечасто встретишь гнома{|у} с такими способностями к ратному делу. Что-то мне подсказывает, что ты очень скоро станешь прославленным вои{ном|тельницей}, которая усилит наш славный Хирд. Поздравляю, ты прош{ел|ла} испытание и отныне можешь считать себя полноправн{ым|ой} защитни{ком|цей} Кхатога! Кстати, всем новобранцам полагается специальный набор магических эликсиров. Подойди ко мне, и я с радостью его вручу.</span></p><p>&nbsp;</p>","<p><span style=""text-indent: 35.4pt; "">Признаться, ты меня удивил{|а}. Нечасто встретишь gnomeа{|у} с такими способностями к ратному делу. Что-то мне подсказывает, что ты очень скоро станешь прославленным вои{ном|тельницей}, которая усилит наш славный Хирд. Поздравляю, ты прош{ел|ла} испытание и отныне можешь считать себя полноправн{ым|ой} заshieldни{ком|цей} Khatogа! Кстати, всем новобранцам полагается специальный набор магических эликсиров. Подойди ко мне, и я с радостью его вручу.</span></p><p>&nbsp;</p>"
157675,"<p>&nbsp;<span style=""text-indent: 35.4pt; "">Признаться, ты меня удивил{|а}. Нечасто встретишь гном{а|у} с такими способностями к ратному делу. Что-то мне подсказывает, что ты очень скоро станешь прославлен</span><span style=""text-indent: 47.20000076293945px; "">{ным|ной}</span><span style=""text-indent: 35.4pt; ""> вои{ном|тельницей}, котор{ый|ая} усилит наш славный Хирд. Поздравляю, отныне можешь считать себя </span><b style=""text-indent: 35.4pt; "">полноправн{ым|ой} защитни{ком|цей} Кхатога</b><span style=""text-indent: 35.4pt; "">! Кстати, всем новобранцам полагается специальный </span><b style=""text-indent: 35.4pt; "">набор магических эликсиров</b><span style=""text-indent: 35.4pt; "">. </span><b style=""text-indent: 35.4pt; "">Подойди </b><span style=""text-indent: 35.4pt; "">ко мне, и я с радостью его вручу.&nbsp;</span></p>\n<p align=""center""><img src=""/files/popups/image/npc_kardomar_frame.png"" width=""100"" height=""100"" border=""0"" alt="""" /></p>","<p>&nbsp;<span style=""text-indent: 35.4pt; "">Признаться, ты меня удивил{|а}. Нечасто встретишь gnome{а|у} с такими способностями к ратному делу. Что-то мне подсказывает, что ты очень скоро станешь прославлен</span><span style=""text-indent: 47.20000076293945px; "">{ным|ной}</span><span style=""text-indent: 35.4pt; ""> вои{ном|тельницей}, котор{ый|ая} усилит наш славный Хирд. Поздравляю, отныне можешь считать себя </span><b style=""text-indent: 35.4pt; "">полноправн{ым|ой} заshieldни{ком|цей} Khatogа</b><span style=""text-indent: 35.4pt; "">! Кстати, всем новобранцам полагается специальный </span><b style=""text-indent: 35.4pt; "">набор магических эликсиров</b><span style=""text-indent: 35.4pt; "">. </span><b style=""text-indent: 35.4pt; "">Подойди </b><span style=""text-indent: 35.4pt; "">ко мне, и я с радостью его вручу.&nbsp;</span></p>\n<p align=""center""><img src=""/files/popups/image/npc_kardomar_frame.png"" width=""100"" height=""100"" border=""0"" alt="""" /></p>"
157676,"<p>&nbsp;<span style=""font-size:11.0pt;line-height:115%;\nfont-family:&quot;Calibri&quot;,&quot;sans-serif&quot;;mso-ascii-theme-font:minor-latin;mso-fareast-font-family:\nCalibri;mso-fareast-theme-font:minor-latin;mso-hansi-theme-font:minor-latin;\nmso-bidi-font-family:&quot;Times New Roman&quot;;mso-bidi-theme-font:minor-bidi;\nmso-ansi-language:RU;mso-fareast-language:EN-US;mso-bidi-language:AR-SA"">Неплохо, очень даже неплохо. С такими способностями ты быстро станешь мастером боя и опытн{ым|ой} маг{ом|ессой}. Думаю, что ты усвоил{|а} основы и отныне имеешь полное право именоваться защитни{ком|цей} Лонгхольма, да хранит тебя Светлоликая Эквиль! Да, чуть не забыл! <b>Подойди-ка ко мне</b>. Хочу вручить <b>набор боевых эликсиров</b>, который полагается каждо{му|й} новоиспеченно{му|й} вои{ну|тельнице}.</span></p>\n<p align=""center""><img src=""/files/popups/image/npc_vargos_frame(1).png"" width=""100"" height=""100"" border=""0"" alt="""" /></p>","<p>&nbsp;<span style=""font-size:11.0pt;line-height:115%;\nfont-family:&quot;Calibri&quot;,&quot;sans-serif&quot;;mso-ascii-theme-font:minor-latin;mso-fareast-font-family:\nCalibri;mso-fareast-theme-font:minor-latin;mso-hansi-theme-font:minor-latin;\nmso-bidi-font-family:&quot;Times New Roman&quot;;mso-bidi-theme-font:minor-bidi;\nmso-ansi-language:RU;mso-fareast-language:EN-US;mso-bidi-language:AR-SA"">Неплохо, очень даже неплохо. С такими способностями ты быстро станешь мастером боя и опытн{ым|ой} маг{ом|ессой}. Думаю, что ты усвоил{|а} основы и отныне имеешь полное право именоваться заshieldни{ком|цей} Longholmа, да хранит тебя Светлоликая Equil! Да, чуть не забыл! <b>Подойди-ка ко мне</b>. Хочу вручить <b>набор боевых эликсиров</b>, который полагается каждо{му|й} новоиспеченно{му|й} вои{ну|тельнице}.</span></p>\n<p align=""center""><img src=""/files/popups/image/npc_vargos_frame(1).png"" width=""100"" height=""100"" border=""0"" alt="""" /></p>"
157677,"<p>&nbsp;Запомни, только в постоянных сражениях можно закалить характер и повысить боевое мастерство. Чем больше врагов ты повергнешь, тем более опытн{ым|ой} и искусн{ым|ой} вои{ном|тельницей} станешь. Также многое будет зависеть от твоих характеристик, <b>снаряжения, оружия, медалей и, </b>конечно же, переменчивой<b> &nbsp;</b>фортуны! А теперь твое первое настоящее задание - сразись с коварными<b> Скотозаврами</b>, которые утащили мой <b>сапог</b>, и верни его! Уверен, тебе это по силам!</p>\n<p align=""center""><img width=""100"" height=""100"" border=""0"" src=""/files/popups/image/skotozavr_frame.png"" alt="""" /></p>","<p>&nbsp;Запомни, только в постоянных сражениях можно закалить характер и повысить боевое мастерство. Чем больше врагов ты повергнешь, тем более опытн{ым|ой} и искусн{ым|ой} вои{ном|тельницей} станешь. Также многое будет зависеть от твоих характеристик, <b>снаряжения, оружия, медалей и, </b>конечно же, переменчивой<b> &nbsp;</b>фортуны! А теперь твое первое настоящее задание - сразись с коварными<b> Скотозаврами</b>, которые утащили мой <b>сапог</b>, и верни его! Уверен, тебе это по силам!</p>\n<p align=""center""><img width=""100"" height=""100"" border=""0"" src=""/files/popups/image/skotozavr_frame.png"" alt="""" /></p>"
157682,"<p>&nbsp;А теперь пора заняться твоим <b>вооружением</b>. Доспехи тебе чуть позже выдаст наш Каптенармус, а вот <b>оружие </b>на складе не валяется. &nbsp;Его можно либо купить, либо получить в качестве трофея, либо изготовить самостоятельно. Но об этом ты и сам{|а} в скором времени узнаешь.  А пока давай смастерим хоть что-то похожее на <b>булаву </b>и <b>щит</b>. Пройди вниз и увидишь возле забора <b>кучу пиломатериалов</b>. Думаю, ты без труда отыщешь в ней длинный <b>прочный брусок</b>. Давай, я в тебя верю!</p>\n<p align=""center""><img width=""100"" height=""100"" border=""0"" alt="""" src=""/files/popups/image/drova_1_frame.png"" /></p>","<p>&nbsp;А теперь пора заняться твоим <b>вооружением</b>. Armor тебе чуть позже выдаст наш Kaptenarmus, а вот <b>оружие </b>на складе не валяется. &nbsp;Его можно либо купить, либо получить в качестве трофея, либо изготовить самостоятельно. Но об этом ты и сам{|а} в скором времени узнаешь. А пока давай смастерим хоть что-то похожее на <b>булаву </b>и <b>shield</b>. Пройди вниз и увидишь возле забора <b>кучу пиломатериалов</b>. Думаю, ты без труда отыщешь в ней длинный <b>прочный брусок</b>. Давай, я в тебя верю!</p>\n<p align=""center""><img width=""100"" height=""100"" border=""0"" alt="""" src=""/files/popups/image/drova_1_frame.png"" /></p>"
